DEBUG:chardet.charsetprober:ISO-8859-5 confidence = 0.0, below negative shortcut threshhold 0.05
DEBUG:chardet.charsetprober:utf-8  confidence = 0.99
DEBUG:chardet.charsetprober:SHIFT_JIS Japanese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-JP Japanese confidence = 0.01
DEBUG:chardet.charsetprober:GB2312 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-KR Korean confidence = 0.01
DEBUG:chardet.charsetprober:CP949 Korean confidence = 0.01
DEBUG:chardet.charsetprober:Big5 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-TW Taiwan confidence = 0.01
DEBUG:chardet.charsetprober:windows-1251 Russian confidence = 0.01
DEBUG:chardet.charsetprober:KOI8-R Russian confidence = 0.01
DEBUG:chardet.charsetprober:ISO-8859-5 Russian confidence = 0.0003824014030471775
DEBUG:chardet.charsetprober:MacCyrillic Russian confidence = 0.0007122990356136347
DEBUG:chardet.charsetprober:IBM866 Russian confidence = 0.031190627939089065
DEBUG:chardet.charsetprober:IBM855 Russian confidence = 0.006570161253869048
DEBUG:chardet.charsetprober:ISO-8859-7 Greek confidence = 0.005470846243257866
DEBUG:chardet.charsetprober:windows-1253 Greek confidence = 0.0034066346635596707
DEBUG:chardet.charsetprober:ISO-8859-5 not active
DEBUG:chardet.charsetprober:windows-1251 Bulgarian confidence = 0.0
DEBUG:chardet.charsetprober:TIS-620 Thai confidence = 0.13362477618854765
DEBUG:chardet.charsetprober:ISO-8859-9 Turkish confidence = 0.47909341013600143
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:utf-8  confidence = 0.99
DEBUG:chardet.charsetprober:SHIFT_JIS Japanese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-JP Japanese confidence = 0.01
DEBUG:chardet.charsetprober:GB2312 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-KR Korean confidence = 0.01
DEBUG:chardet.charsetprober:CP949 Korean confidence = 0.01
DEBUG:chardet.charsetprober:Big5 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-TW Taiwan confidence = 0.01
